"input","match","din/npn","dtc","ahfs","database","type","matches","both"
")-Calcium with Vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","word","1","yes"
"00026158  Senokot  Sennosides 8.6 mg","Senokot Tablets","00026158","","","natural","code","1",""
"02237556 Eur-Fer   300mg","Euro-Fer","02237556","","","natural","code","1",""
"02367335 sandoz latanoprost 1 drop","SANDOZ LATANOPROST","02367335","S01EE01","52:40.28","drug","code","1","no"
"02371987 Mar-Atenolol  50mg","MAR-ATENOLOL","02371987","C07AB03","24:24.00","drug","code","1",""
"02374420  Apo-Anastrozole  1mg","APO-ANASTROZOLE","02374420","L02BG03","10:00.00","drug","code","1","no"
"02375095 cetirizine, 10mg","CETIRIZINE","02375095","R06AE07","04:08.00","drug","code","1",""
"02377721  Apo-risedronate 150mg","APO-RISEDRONATE","02377721","M05BA07","92:24.00","drug","code","1",""
"02382075 Bupropion  150mg","MYLAN-BUPROPION XL","02382075","N06AX12","28:16.04.92","drug","code","1","no"
"02382083  Mylan-Bupropion XL  300mg","MYLAN-BUPROPION XL","02382083","N06AX12","28:16.04.92","drug","code","1",""
"02387875 Alysena 21  0.1mg/.02mg","ALYSENA 21","02387875","G03AA07","68:12.00","drug","code","1","no"
"02391481 mar-gabapentin 300 mg","MAR-GABAPENTIN","02391481","N03AX12","28:12.92","drug","code","1",""
"02394618, METHADONE","METHADOSE","02394618","N07BC02","28:08.08","drug","code","1",""
"02394685  latanoprost/ timolol  5/5 mcg","SANDOZ LATANOPROST/TIMOLOL","02394685","S01ED51","52:40.08 52:40.28","drug","code","2","no"
"02394790 asa low dose 81 mg","ASA DAILY LOW DOSE","02394790","B01AC06","28:08.04.24","drug","code","1",""
"02397714  Eliquis (Apixaban) 5mg","ELIQUIS","02397714","B01AF02","20:12.04.14","drug","code","1",""
"02402777 apo-allopurinol 200mg","APO-ALLOPURINOL","02402777","M04AA01","92:16.00","drug","code","1",""
"02405636 ROSUVASTATIN","ROSUVASTATIN","02405636","C10AA07","24:06.08","drug","code","1",""
"02413809  Teva-Risedronate 150mg","TEVA-RISEDRONATE","02413809","M05BA07","92:24.00","drug","code","1",""
"02434946  Apo-Zolpidem ODT  10mg","APO-ZOLPIDEM ODT","02434946","N05CF02","28:24.92","drug","code","1","no"
"100 % wild fish oil 1000 mg","Fish Oil","80000846","","","natural","word","4",""
"2% Salicylic Acid in Desonide Ointment","Acid","80023450","","","natural","word","1",""
"20/20 vision","20/20 Vision","80025091","","","natural","direct","1",""
"2385929 venlafaxine hcl 37.5 mg","VENLAFAXINE XR","02385929","N06AX16","28:16.04.16","drug","code","1",""
"2403587  Apo-Mometasone   50mcg","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","code","1","no"
"30 Lithane","LITHANE","00406775","N05AN01","28:28.00","drug","word","1","no"
"30 Synthroid","SYNTHROID","02172070","H03AA01","68:36.04","drug","word","1","no"
"5 htp","5-Htp","80007051","","","natural","simple","4",""
"50+ MULTIVITAMIN","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"50+ multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"50+ vitamin","Daily Multi Vitamin","80067478","","","natural","word","1",""
"60 biocal-d forte","Biocal-D","80004143","","","natural","word","3",""
"80000435  Novo-Ferrogluconate  300mg","Ferrous Gluconate","80000435","","","natural","code","1",""
"80040226-Slow K 8MEQ","Slow-K","80040226","","","natural","code","1",""
"a.g.select canneberge","Canneberge","80009089","","","natural","word","1",""
"a.s.a","A.S.A.","02096463","N02BA01","28:08.04.24","drug","simple","2","no"
"a.s.a 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","simple","1","no"
"acebutolol 200 mg","ACEBUTOLOL","02286246","C07AB04","24:24.00","drug","word","1","no"
"Acetaminophen  500mg","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","word","1","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","02238806","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophen 500mg","ACETAMINOPHEN 500MG","02238806","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophen extra fort","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","word","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophène","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"Acetaminophene","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","direct","1","no"
"acetaminophene 650","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","word","1","no"
"acetaminophene 650 mg","ACETAMINOPHENE","02269961","N02BE01","28:08.92","drug","word","1","no"
"acetyl-l-carnitine","Acetyl-L-Carnitine","80041758","","","natural","direct","1",""
"Acetylsalicylic Acid","Acid","80023450","","","natural","word","1",""
"Acid Reducer","ACID REDUCER","02230507","A02BA02","56:28.12","drug","direct","1","no"
"acid reduction pill like tecta","TECTA","02267233","A02BC02","56:28.36","drug","word","1","no"
"acid reflux medication","Acid","80023450","","","natural","word","1",""
"acide folique","Acide Folique","80031495","","","natural","direct","1",""
"acide folique 5 mg","Acide Folique","80031495","","","natural","word","1",""
"acide folique 5 mg","Acide Folique","80031495","","","natural","word","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"Acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus","Acidophilus","80012580","","","natural","direct","1",""
"acidophilus & bifidus","Acidophilus & Bifidus","80034507","","","natural","direct","1",""
"Acidophilus & Bifidus","Acidophilus & Bifidus","80034507","","","natural","direct","1",""
"acidophilus ultra","Acidophilus Ultra","80022124","","","natural","direct","1",""
"Act-Atorvastatin","ACT ATORVASTATIN","02310899","C10AA05","24:06.08","drug","simple","1","no"
"action rapide acetaminophène","RAPIDE","02245733","V07AV","38:00.00","drug","word","1","no"
"active calcium plus","Active Calcium Plus","80003103","","","natural","direct","1",""
"Active-X multivitamin","MULTIVITAMIN","02236800","","","drug","word","1","yes"
"actonel","ACTONEL","02239146","M05BA07","92:24.00","drug","direct","1","no"
"actonel","ACTONEL","02239146","M05BA07","92:24.00","drug","direct","1","no"
"Actonel","ACTONEL","02239146","M05BA07","92:24.00","drug","direct","1","no"
"Actonel","ACTONEL","02239146","M05BA07","92:24.00","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"Adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat","ADALAT","02155869","C08CA05","24:28.08","drug","direct","1","no"
"adalat  XL","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"Adalat 30mg","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"Adalat XL","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"adalat xl","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"adalat xl","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"Adalat XL","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"adalat xl","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"adalat xl","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"Adalat XL 30 mg","ADALAT","02155869","C08CA05","24:28.08","drug","word","1","no"
"adrenal +","Adrenergy","80037728","","","natural","direct","1",""
"Adrien Gagnon Artichaut","Artichaut","80001807","","","natural","word","1",""
"Adult multi vitamine 50+","MULTI","02243300","S01XA20","52:12.00","drug","word","1","yes"
"Adult Multivitamins life brand","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","word","1","yes"
"advair 250","ADVAIR 250","02245127","R03AK06","12:12.08.12","drug","direct","1","no"
"advair 250 diskus","ADVAIR 250 DISKUS","02240836","R03AK06","12:12.08.12","drug","direct","1","no"
"advil cold and sinus","ADVIL COLD AND SINUS","02036312","M01AE51","12:12.12 28:08.04.92","drug","direct","2","no"
"advil extra fort 400 mg","Extra","80062086","","","natural","word","1",""
"advil extra fort pour migraines","Extra","80062086","","","natural","word","1",""
"advil for muscle and joint","Muscle","80058910","","","natural","word","1",""
"Advil Ibuprofen Tablets","IBUPROFEN","02238004","M01AE01","28:08.04.92","drug","word","2","no"
"advil liqui gels","ADVIL LIQUI-GELS","02241769","M01AE01","28:08.04.92","drug","simple","1","no"
"advil reliieves headaches, fever muscle  and joint pain, 200mg","Muscle","80058910","","","natural","word","1",""
"aerius","AERIUS","02243919","R06AX27","04:08.00","drug","direct","1","no"
"aerius","AERIUS","02243919","R06AX27","04:08.00","drug","direct","1","no"
"African Mango 1200 mg plus Green Tea","Green Tea","80007073","","","natural","word","4",""
"AG NATURAL HEALTH Multivitamine","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","word","1","no"
"Aggrenox","AGGRENOX","02242119","B01AC30","24:12.92","drug","direct","1","no"
"ala","Ala","80004437","","","natural","direct","1",""
"alaskan salmon oil","Alaskan Salmon Oil","80021914","","","natural","direct","1",""
"Alendronate","ALENDRONATE","02299712","M05BA04","92:24.00","drug","direct","1","no"
"alendronate 70 mg","ALENDRONATE","02299712","M05BA04","92:24.00","drug","word","1","no"
"Alendronate 70 mg","ALENDRONATE","02299712","M05BA04","92:24.00","drug","word","1","no"
"alendronate 70 mg","ALENDRONATE","02299712","M05BA04","92:24.00","drug","word","1","no"
"Alendronate sodium (Fosamax)","ALENDRONATE","02299712","M05BA04","92:24.00","drug","word","1","no"
"alesse 28","ALESSE 28","02236975","G03AA07","68:12.00","drug","direct","1","no"
"aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"Aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"Aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"Aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"Aleve","ALEVE","02301733","M01AE02","28:08.04.92","drug","direct","1","no"
"Aleve 220 mg","ALEVE","02301733","M01AE02","28:08.04.92","drug","word","1","no"
"Alfalfa","ALFALFA","02234290","","92:02.00","drug","direct","1","yes"
"AlgaeCal Plus","Algaecal Plus","80011815","","","natural","direct","1",""
"Alieve  extra strength","Strength","80060537","","","natural","word","2",""
"align","Align","80071439","","","natural","direct","1",""
"align","Align","80071439","","","natural","direct","1",""
"align","Align","80071439","","","natural","direct","1",""
"Align","Align","80071439","","","natural","direct","1",""
"align (probiotic)","Align","80071439","","","natural","word","1",""
"Align - Probiotic Supplement","PROBIOTIC","02172909","A07FA01","56:08.00","drug","word","1","yes"
"All greens","All Greens","80031735","","","natural","direct","1",""
"All Greens","All Greens","80031735","","","natural","direct","1",""
"allergiplex","Allergiplex","80022986","","","natural","direct","1",""
"allergy relief - non drowsy","ALLERGY RELIEF","00870927","R06AA02 R06AX12","04:04.04 04:08.00","drug","word","2","yes"
"allergy relief extra strength","ALLERGY RELIEF","00870927","R06AA02 R06AX12","04:04.04 04:08.00","drug","word","2","yes"
"allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","direct","1","no"
"Allopurinol 100mg","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","word","1","no"
"allopurinol 200 mg","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","word","1","no"
"allopurinol 200 mg","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","word","1","no"
"Aloe Gold","ALOE","02233083","","92:02.00","drug","word","1","yes"
"alphagan","ALPHAGAN","02236876","S01EA05","52:40.04","drug","direct","1","no"
"alprazolam","ALPRAZOLAM","02349191","N05BA12","28:24.08","drug","direct","1","no"
"altace","ALTACE","02221829","C09AA05","24:32.04","drug","direct","1","no"
"altace","ALTACE","02221829","C09AA05","24:32.04","drug","direct","1","no"
"ALTACE","ALTACE","02221829","C09AA05","24:32.04","drug","direct","1","no"
"altace","ALTACE","02221829","C09AA05","24:32.04","drug","direct","1","no"
"altace","ALTACE","02221829","C09AA05","24:32.04","drug","direct","1","no"
"altace","ALTACE","02221829","C09AA05","24:32.04","drug","direct","1","no"
"altace 10mg","ALTACE","02221829","C09AA05","24:32.04","drug","word","1","no"
"Altace HCL","ALTACE","02221829","C09AA05","24:32.04","drug","word","1","no"
"Altace HCT","ALTACE HCT","02283131","C09BA05","24:32.04 40:28.20","drug","direct","2","no"
"Alvesco","ALVESCO","02285592","R03BA08","68:04.00","drug","direct","1","no"
"alvesco","ALVESCO","02285592","R03BA08","68:04.00","drug","direct","1","no"
"Alvesco ciclesonide","ALVESCO","02285592","R03BA08","68:04.00","drug","word","1","no"
"Alysena21","ALYSENA 21","02387875","G03AA07","68:12.00","drug","simple","1","no"
"amazon tonic three","Three","80025058","","","natural","word","2",""
"amieson glucosamine 300 mg, chondroitin 200 mg","Glucosamine","80000334","","","natural","word","2",""
"amino acid suppliment","Acid","80023450","","","natural","word","2",""
"amino l glutamine powder","Glutamine","80002956","","","natural","word","4",""
"amitriptyline","AMITRIPTYLINE","02451786","N06AA09","28:16.04.28","drug","direct","1","no"
"Amitriptyline","AMITRIPTYLINE","02451786","N06AA09","28:16.04.28","drug","direct","1","no"
"amitriptyline","AMITRIPTYLINE","02451786","N06AA09","28:16.04.28","drug","direct","1","no"
"Amitriptyline","AMITRIPTYLINE","02451786","N06AA09","28:16.04.28","drug","direct","1","no"
"Amlodipine","AMLODIPINE","02326795","C08CA01","24:28.08","drug","direct","1","no"
"amlodipine","AMLODIPINE","02326795","C08CA01","24:28.08","drug","direct","1","no"
"amlodipine","AMLODIPINE","02326795","C08CA01","24:28.08","drug","direct","1","no"
"amlodipine","AMLODIPINE","02326795","C08CA01","24:28.08","drug","direct","1","no"
"Amlodipine","AMLODIPINE","02326795","C08CA01","24:28.08","drug","direct","1","no"
"Amlodipine (Norvasc) 5 mg","AMLODIPINE","02326795","C08CA01","24:28.08","drug","word","1","no"
"AMLODIPINE 2.5 mg","AMLODIPINE","02326795","C08CA01","24:28.08","drug","word","1","no"
"AMLODIPINE 5MG","AMLODIPINE","02326795","C08CA01","24:28.08","drug","word","1","no"
"Amlodipine andAtorvastat","AMLODIPINE","02326795","C08CA01","24:28.08","drug","word","1","no"
"Amlodipine Besylate","AMLODIPINE","02326795","C08CA01","24:28.08","drug","word","1","no"
"anaprox","ANAPROX","00491772","M01AE02","28:08.04.92","drug","direct","1","no"
"anaprox","ANAPROX","00491772","M01AE02","28:08.04.92","drug","direct","1","no"
"andoz latanoprost","LATANOPROST","02375508","S01EE01","52:40.28","drug","word","1","no"
"androgel","ANDROGEL","02245345","G03BA03","68:08.00","drug","direct","1","no"
"Androgel","ANDROGEL","02245345","G03BA03","68:08.00","drug","direct","1","no"
"AOR bone basics","Bone Basics","80030034","","","natural","word","1",""
"aor vitmain c 1000 mg","C 1000","00700827","A11GA01","88:12.00","drug","word","1","yes"
"Apo -atorvastatin","APO-ATORVASTATIN","02295261","C10AA05","24:06.08","drug","simple","1","no"
"apo alfuzosin","ALFUZOSIN","02414759","G04CA01","12:16.04.12","drug","word","1","no"
"apo alfuzosin","ALFUZOSIN","02414759","G04CA01","12:16.04.12","drug","word","1","no"
"apo alfuzosin","ALFUZOSIN","02414759","G04CA01","12:16.04.12","drug","word","1","no"
"apo allopurinol","ALLOPURINOL","00294322","M04AA01","92:16.00","drug","word","1","no"
"apo atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"apo atorvastatin","ATORVASTATIN","02346486","C10AA05","24:06.08","drug","word","1","no"
"apo bisoprolol","BISOPROLOL","02321556","C07AB07","24:24.00","drug","word","1","no"
"apo bisoprolol","BISOPROLOL","02321556","C07AB07","24:24.00","drug","word","1","no"
"apo cilazapril","CILAZAPRIL","02345218","C09AA08","24:32.04","drug","word","1","no"
"apo clonazepam","CLONAZEPAM","02344602","N03AE01","28:12.08","drug","word","1","no"
"apo desipramine","DESIPRAMINE","02216248","N06AA01","28:16.04.28","drug","word","1","no"
"apo diltiaz cd","APO-DILTIAZ CD","02230997","C08DB01","24:28.92","drug","simple","1","no"
"apo divalproex","DIVALPROEX","02400499","N03AG01","28:12.92","drug","word","1","no"
"apo esomeprazole","ESOMEPRAZOLE","02394839","A02BC05","56:28.36","drug","word","1","no"
"apo esomeprazole plaq","ESOMEPRAZOLE","02394839","A02BC05","56:28.36","drug","word","1","no"
"apo finasteride","FINASTERIDE","02348888","C02KX","92:08.00","drug","word","1","no"
"apo flurazepam","FLURAZEPAM","00521698","N05CD01","28:24.08","drug","word","1","no"
"apo furosemide","FUROSEMIDE","02351420","C03CA01","40:28.08","drug","word","1","no"
"apo gliclazide","GLICLAZIDE","02287072","A10BB09","68:20.20","drug","word","1","no"
"apo hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","simple","1","no"
"apo hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","simple","1","no"
"Apo Hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","simple","1","no"
"apo hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","simple","1","no"
"apo hydrochlorothiazide","HYDROCHLOROTHIAZIDE","02360594","C03AA03","40:28.20","drug","word","1","no"
"apo ismn","ISMN","02446073","C01DA14","24:12.08","drug","word","1","no"
"apo lorazepam","LORAZEPAM","02351072","N05BA06","28:24.08","drug","word","1","no"
"apo losartan hctz plaq","LOSARTAN","02388790","C09CA01","24:32.08","drug","word","1","no"
"apo metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","word","1","no"
"apo methoprazine","METHOPRAZINE","02238403","N05AA02","28:16.08.24","drug","word","1","no"
"apo metoprolol","METOPROLOL","02350394","C07AB02","24:24.00","drug","word","1","no"
"apo metoprolol l","METOPROLOL","02350394","C07AB02","24:24.00","drug","word","1","no"
"apo naproxen","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","word","1","no"
"apo naproxen","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","word","1","no"
"apo naproxen ec","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","word","2","no"
"apo naproxen ec","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","word","2","no"
"apo omeprazole","OMEPRAZOLE","02339927","A02BC01","56:28.36","drug","word","1","no"
"apo omeprazole","OMEPRAZOLE","02339927","A02BC01","56:28.36","drug","word","1","no"
"apo pantoprazole","PANTOPRAZOLE","02309858","A02BC02","56:28.36","drug","word","1","no"
"apo pantoprazole","PANTOPRAZOLE","02309858","A02BC02","56:28.36","drug","word","1","no"
"apo ramipril","RAMIPRIL","02255316","C09AA05","24:32.04","drug","word","1","no"
"Apo ramipril","RAMIPRIL","02255316","C09AA05","24:32.04","drug","word","1","no"
"Apo Risedronate 150 mg","RISEDRONATE","02347474","M05BA07","92:24.00","drug","word","1","no"
"apo rosuvastatin","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","word","1","no"
"apo rosuvastatin","ROSUVASTATIN","02381176","C10AA07","24:06.08","drug","word","1","no"
"apo simvastatin","SIMVASTATIN","02284723","C10AA01","24:06.08","drug","word","1","no"
"apo tamsulosin cr","TAMSULOSIN CR","02413612","G04CA02","12:16.04.12","drug","word","1","no"
"apo tizanidine","TIZANIDINE","02259885","M03BX02","12:20.04","drug","word","1","no"
"apo triazide","APO TRIAZIDE","00441775","C03EA01","40:28.16 40:28.20","drug","direct","2","no"
"apo triazide","APO TRIAZIDE","00441775","C03EA01","40:28.16 40:28.20","drug","direct","2","no"
"Apo- Hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","simple","1","no"
"apo-acebutolol","APO-ACEBUTOLOL","02147602","C07AB04","24:24.00","drug","direct","1","no"
"apo-amlodipine 5 mg","APO-AMLODIPINE","02273373","C08CA01","24:28.08","drug","word","1","no"
"apo-atorvastatin 20mg","APO-ATORVASTATIN","02295261","C10AA05","24:06.08","drug","word","1","no"
"Apo-Atorvastatin Calcium 20mg","CALCIUM","02175584","A12AA C10AA05","24:06.08 88:29.00","drug","word","2","yes"
"apo-candesartan 8 mg","APO-CANDESARTAN","02365340","C09CA06","24:32.08","drug","word","1","no"
"Apo-Clonidine 0.025mg","APO-CLONIDINE","02248732","C02AC01","24:08.16","drug","word","1","no"
"Apo-Feno Micro","MICRO","02136996","D08AE55","84:04.92","drug","word","1","no"
"apo-folic acid","Acid","80023450","","","natural","word","1",""
"apo-hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","direct","1","no"
"Apo-Hydro","APO-HYDRO","02327856","C03AA03","40:28.20","drug","direct","1","no"
"apo-hydro 25mg","APO-HYDRO","02327856","C03AA03","40:28.20","drug","word","1","no"
"Apo-Hydro 25mg","APO-HYDRO","02327856","C03AA03","40:28.20","drug","word","1","no"
"apo-hydro 25mg","APO-HYDRO","02327856","C03AA03","40:28.20","drug","word","1","no"
"apo-lansoprazole 30mg","APO-LANSOPRAZOLE","02293811","A02BC03","56:28.36","drug","word","1","no"
"Apo-Latanoprost","APO-LATANOPROST","02296527","S01EE01","52:40.28","drug","direct","1","no"
"apo-latanoprost oph","APO-LATANOPROST","02296527","S01EE01","52:40.28","drug","word","1","no"
"Apo-Metoprolol","APO-METOPROLOL","02246010","C07AB02","24:24.00","drug","direct","1","no"
"apo-metoprolol","APO-METOPROLOL","02246010","C07AB02","24:24.00","drug","direct","1","no"
"Apo-Metoprolol","APO-METOPROLOL","02246010","C07AB02","24:24.00","drug","direct","1","no"
"Apo-Metronidazole","APO-METRONIDAZOLE","02406470","P01AB01","08:30.92","drug","direct","1","no"
"apo-mometason nasal spray DIN 02403587","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","code","1","no"
"apo-mometasone","APO-MOMETASONE","02403587","R01AD09","52:08.08","drug","direct","1","no"
"apo-ranitidine","APO-RANITIDINE","02280833","A02BA02","56:28.12","drug","direct","1","no"
"Apo-Risedronate  150mg","APO-RISEDRONATE","02353687","M05BA07","92:24.00","drug","word","1","no"
"apo-sertraline","APO-SERTRALINE","02238280","N06AB06","28:16.04.20","drug","direct","1","no"
"apo-simvastatin","APO-SIMVASTATIN","02247011","C10AA01","24:06.08","drug","direct","1","no"
"Apo-Tramadol/Acet","APO-TRAMADOL/ACET","02336790","N02AX52","28:08.08 28:08.92","drug","direct","2","no"
"apo-triazide","APO TRIAZIDE","00441775","C03EA01","40:28.16 40:28.20","drug","simple","2","no"
"apo-triazide","APO TRIAZIDE","00441775","C03EA01","40:28.16 40:28.20","drug","simple","2","no"
"apo-triazide","APO TRIAZIDE","00441775","C03EA01","40:28.16 40:28.20","drug","simple","2","no"
"apo-zopiclone 7.5 mg","APO-ZOPICLONE","02245077","N05CF01","28:24.92","drug","word","1","no"
"apocelecoxib","APO-CELECOXIB","02418932","M01AH01","28:08.04.08","drug","simple","1","no"
"apometoprolol sr","APO-METOPROLOL SR","02285169","C07AB02","24:24.00","drug","simple","1","no"
"apple cider vinegar","Apple Cider Vinegar","80021269","","","natural","direct","1",""
"apprilon 40 mg","APPRILON","02375885","J01AA02","08:12.24","drug","word","1","no"
"areds formula mutlivitamin","Areds","80070679","","","natural","word","2",""
"Areds-Eye Care Formula","Areds Eye Care Formula With Lutein","80025777","","","natural","simple","1",""
"arthrotec 75 mg","ARTHROTEC 75","02229837","M01AB55","28:08.04.92 56:28.28","drug","word","2","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"ASA","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
"asa","ASA","02427168","N02BA01","28:08.04.24","drug","direct","1","no"
