"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"calcium 500 mg et vitamine D 400UI","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium 500 mg vitamine d 400 ui","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 500 mg vitamine d 400 ui","CALCIUM 500 MG","02243626","A12AA04","40:12.00","drug","","word","yes"
"calcium 500 mg vitamine d 400 ui","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium 500mg 400 ui avec vit. d","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium 500mg 400 ui avec vit. d","CALCIUM 500MG","02240977","A12AA20","88:29.00","drug","YES","word","yes"
"calcium 500mg et vitamine d 400 ui","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium 500mg et vitamine d 400 ui","CALCIUM 500MG","02240977","A12AA20","88:29.00","drug","YES","word","yes"
"calcium 500mg et vitamine d 400 ui","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"calcium 500mg vitamin d","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 500mg vitamin d","CALCIUM 500MG","02240977","A12AA20","88:29.00","drug","","word","yes"
"calcium 500mg vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium 600 et d 200","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 600 et d 200","CALCIUM 600","02239457","A12AA04","40:12.00","drug","","word","yes"
"calcium 600 mg + vitamine 400 UI","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 600 mg + vitamine 400 UI","CALCIUM 600","02239457","A12AA04","40:12.00","drug","","word","yes"
"calcium 600 mg et 400 ui vitamine d","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 600 mg et 400 ui vitamine d","CALCIUM 600","02239457","A12AA04","40:12.00","drug","","word","yes"
"calcium 600 mg et 400 ui vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium 600 mg lkirkland","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium 600 mg lkirkland","CALCIUM 600","02239457","A12AA04","40:12.00","drug","YES","word","yes"
"calcium 600mg with vitamin D 400iu","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium 600mg with vitamin D 400iu","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium and magnesium (Jamieson brand)","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium and magnesium (Jamieson brand)","CALCIUM AND MAGNESIUM","00288187","A12AX","88:29.00","drug","","word","yes"
"calcium and magnesium (Jamieson brand)","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium and Magnesium 33/167 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium and Magnesium 33/167 mg","CALCIUM AND MAGNESIUM","00288187","A12AX","88:29.00","drug","","word","yes"
"Calcium and Magnesium 33/167 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium and magnesium 333mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium and magnesium 333mg","CALCIUM AND MAGNESIUM","00288187","A12AX","88:29.00","drug","","word","yes"
"calcium and magnesium 333mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium and magnesium with vitiamin d","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"calcium and magnesium with vitiamin d","CALCIUM AND MAGNESIUM","00288187","A12AX","88:29.00","drug","NO","word","yes"
"calcium and magnesium with vitiamin d","MAGNESIUM","00532479","A12CC","88:29.00","drug","NO","word","yes"
"Calcium and Vitamin D - 1200 mg (nature's bounty)","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium and Vitamin D - 1200 mg (nature's bounty)","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium and vitamin d 600/400mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium and vitamin d 600/400mg","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium avec vitamine d","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium avec vitamine d","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium avec vitamine d","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"calcium avec vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium avec vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"calcium avec vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","NO","word","yes"
"calcium carbonate - 500 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium carbonate - 500 mg","CALCIUM CARBONATE","00640360","A12AA04","40:12.00","drug","","word","yes"
"Calcium carbonate - 500mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium carbonate - 500mg","CALCIUM CARBONATE","00640360","A12AA04","40:12.00","drug","","word","yes"
"Calcium Carbonate 1250mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Carbonate 1250mg","CALCIUM CARBONATE","00640360","A12AA04","40:12.00","drug","","word","yes"
"calcium carbonate and Vitamin D -","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium carbonate and Vitamin D -","CALCIUM CARBONATE","00640360","A12AA04","40:12.00","drug","","word","yes"
"calcium carbonate and Vitamin D -","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium carbonate and vitamin D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium carbonate and vitamin D3","CALCIUM CARBONATE","00640360","A12AA04","40:12.00","drug","","word","yes"
"Calcium Citrate with D3 200 mg/160IU","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Citrate with D3 200 mg/160IU","CALCIUM CITRATE","02231961","A12AA","88:29.00","drug","","word","yes"
"calcium citrate with Vit D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium citrate with Vit D","CALCIUM CITRATE","02231961","A12AA","88:29.00","drug","","word","yes"
"calcium citrate with Vitamin D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium citrate with Vitamin D3","CALCIUM CITRATE","02231961","A12AA","88:29.00","drug","","word","yes"
"calcium et vitamine d","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium et vitamine D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium et vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"calcium et vitamine D","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium et vitamine d 3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium et vitamine d 3","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium et vitamine d 400 mg et 500 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium et vitamine d 400 mg et 500 mg","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium et vitamine d 400 ui","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium et vitamine d 400 ui","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium et vitamine d 500 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium et vitamine d 500 mg","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium et vitamine d 500mg-1000ui","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium et vitamine d 500mg-1000ui","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"Calcium Magnesium  & Vitamin D  350mg / 175 mg / 100 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Magnesium  & Vitamin D  350mg / 175 mg / 100 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium Magnesium  & Vitamin D  350mg / 175 mg / 100 mg","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium magnesium + Vit D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium magnesium + Vit D","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium Magnesium + Vitamin D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Magnesium + Vitamin D","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium Magnesium + Vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium Magnesium + Vitamin D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Magnesium + Vitamin D3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium Magnesium +D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Magnesium +D3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium Magnesium +Zinc","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium Magnesium +Zinc","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium 250mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium 250mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium and D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium and D3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium and vitamin d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium and vitamin d3","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"calcium magnesium and vitamin d3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium and vitamin d3","MAGNESIUM","00532479","A12CC","88:29.00","drug","NO","word","yes"
"Calcium magnesium and zinc Mag","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium magnesium and zinc Mag","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium magnesium and zinc Mag","MAGNESIUM AND ZINC","00610925","","88:29.00","drug","","word","no"
"calcium magnesium d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium d3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium et D3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium et D3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnésium jamieson  et vitamine d 3","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"calcium magnésium jamieson  et vitamine d 3","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"CALCIUM MAGNESIUM PLUS VIT D3","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"CALCIUM MAGNESIUM PLUS VIT D3","MAGNESIUM","00532479","A12CC","88:29.00","drug","NO","word","yes"
"calcium magnesium vit d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium vit d3","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium with d3 333/167mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium with d3 333/167mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium magnesium with Vit D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium magnesium with Vit D","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium Magnesium with vitamin D and Zinc","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Magnesium with vitamin D and Zinc","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calcium Magnesium with vitamin D and Zinc","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium plus 600mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium plus 600mg","CALCIUM PLUS","02239459","","","drug","","word","yes"
"calcium plus 600mg kirkland","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium plus 600mg kirkland","CALCIUM PLUS","02239459","","","drug","","word","yes"
"calcium plus and vitamin D - (kirkland brand)","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium plus and vitamin D - (kirkland brand)","CALCIUM PLUS","02239459","","","drug","","word","yes"
"calcium plus and vitamin D - (kirkland brand)","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium plus D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium plus D","CALCIUM PLUS","02239459","","","drug","","word","yes"
"calcium plus D 650/400mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium plus D 650/400mg","CALCIUM PLUS","02239459","","","drug","","word","yes"
"calcium plus vitamin d3","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium plus vitamin d3","CALCIUM PLUS","02239459","","","drug","","word","yes"
"CALCIUM PLUS VITAMINE D3","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"CALCIUM PLUS VITAMINE D3","CALCIUM PLUS","02239459","","","drug","NO","word","yes"
"calcium plus with d 600mg,","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium plus with d 600mg,","CALCIUM PLUS","02239459","","","drug","","word","yes"
"Calcium Plus with Vitamin D","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Plus with Vitamin D","CALCIUM PLUS","02239459","","","drug","","word","yes"
"Calcium Plus with Vitamin D","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium Plus with Vitamin D   600/400mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium Plus with Vitamin D   600/400mg","CALCIUM PLUS","02239459","","","drug","","word","yes"
"Calcium Plus with Vitamin D   600/400mg","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium plus with Vitamin D (kirkland brand)","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium plus with Vitamin D (kirkland brand)","CALCIUM PLUS","02239459","","","drug","","word","yes"
"Calcium plus with Vitamin D (kirkland brand)","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium vitamine d 400 ui","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium vitamine d 400 ui","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"Calcium Vitamine D 500 MG-400 UI","CALCIUM","02175584","A12AA","88:29.00","drug","YES","word","yes"
"Calcium Vitamine D 500 MG-400 UI","VITAMINE D","02136872","A11CC","88:16.00","drug","YES","word","yes"
"Calcium with magnesium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium with magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium with vitamin d 500mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium with vitamin d 500mg","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium with Vitamin D 650 mg","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Calcium with Vitamin D 650 mg","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"calcium with vitamin d 650mg/400iu","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium with vitamin d 650mg/400iu","VITAMIN D","02241564","A11CC","88:16.00","drug","","word","yes"
"Calcium with Vitamin D and Magnesium  250mg/100IU/50mg","CALCIUM","02175584","A12AA","88:29.00","drug","NO","word","yes"
"Calcium with Vitamin D and Magnesium  250mg/100IU/50mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","NO","word","yes"
"Calcium with Vitamin D and Magnesium  250mg/100IU/50mg","VITAMIN D","02241564","A11CC","88:16.00","drug","NO","word","yes"
"calcium with vitamine d","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"calcium with vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium, magnesium and vitamine d","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"calcium, magnesium and vitamine d","VITAMINE D","02136872","A11CC","88:16.00","drug","","word","yes"
"calcium/magnesium/vitamin D","Calcium Magnesium Plus Vit D","80021710","","","natural","","simple",""
"calcium/magnesium/vitamin D","Calcium, Magnesium & Vitamin D Formula","80040381","","","natural","","simple",""
"calcium/magnesiumVitaminD","Calcium Magnesium Plus Vit D","80021710","","","natural","","simple",""
"calcium/magnesiumVitaminD","Calcium, Magnesium & Vitamin D Formula","80040381","","","natural","","simple",""
"Calcium/Vitamin D3","Calcium Carbonate 500 Mg & Vitamin D3 125 Iu","80069511","","","natural","","simple",""
"Calcium/Vitamin D3","Cava Adults Gummy Calcium + Vitamin D3","80065191","","","natural","","simple",""
"Calcium/Vitamin D3","Liquid Calcium","80006893","","","natural","","simple",""
"Calm - Magnesium Citrate Powder","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Calm - Magnesium Citrate Powder","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","","word","yes"
"Caltrate avfec Vitamine D3","Caltrate","80003751","","","natural","","word",""
"Caltrate avfec Vitamine D3","Vitamine D3","80031714","","","natural","","word",""
"Caltrate plus (vitamin D)","Caltrate","80003751","","","natural","","word",""
"Caltrate plus (vitamin D)","Caltrate Plus","80009761","","","natural","","word",""
"Caltrate plus (vitamin D)","Plus","80039392","","","natural","","word",""
"capsule to control acid production","Acid","80023450","","","natural","","word",""
"capsule to control acid production","Control","00504092","","","natural","","word",""
